,Lat.1.j.,Long.1.j.,Elevation_ds,cz_ds,MAT_ds,MAP_ds,VPD_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
1,24.92052212,-27.63185768,-5501,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10.15617567,-175.1737364,-5854,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1.581401442,63.14884158,-4340,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,44.62122252,-53.23007036,-115,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-63.96623461,143.2506808,-3687,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11.32291277,85.77932325,-3383,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-22.85223946,174.9934474,-4149,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,47.89993065,-156.5947712,-5062,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-79.20962773,-151.2992004,-488,EF,-20.20433303,341,1.420000024,129491,NA,NA,NA,NA,NA,NA,NA,NA
10,-7.751138888,-113.1831194,-3814,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-34.57627175,-78.0691971,-4111,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,44.61547829,-29.77949892,-2694,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-53.15388531,117.7299634,-3949,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-49.28768015,-122.9037072,-3508,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,32.09592512,-9.295944516,71,BSh,18.24166648,327,19.21000016,218437,31.3,28.4,40.3,0.0145,24.7,0.0292,7.4,3.4
16,1.415482333,-131.1872905,-4442,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-51.02643487,122.7942672,-4615,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,74.81702383,140.3344192,1,Dfd,-15.4216667,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,83.51589017,37.47789376,-3807,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,11.15765926,-56.02618466,-4444,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-2.963554681,-90.63788798,-3275,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-40.99045653,-40.48722424,-5254,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,58.64840494,-61.64094608,-151,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-78.36363199,79.30486414,958,EF,-45.46033335,39,0.359999992,162879,NA,NA,NA,NA,NA,NA,NA,NA
25,-86.02806144,-7.174544586,NA,EF,-41.54066722,26,0.229999997,156524,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.967198587,-33.84759645,-4482,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-34.25247867,11.95574275,-4801,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,13.27155416,178.7780799,-5208,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-54.73937888,163.5182313,-4586,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-54.83381292,130.44852,-4226,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,38.903924,-46.30230686,-4976,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
