"","x"
"1",255
"2",20
"3",255
"4",255
"5",1
"6",255
"7",255
"8",255
"9",255
"10",1
"11",255
"12",255
"13",255
"14",255
"15",50
"16",255
"17",255
"18",255
"19",255
"20",255
"21",255
"22",255
"23",255
"24",1
"25",255
"26",255
"27",255
"28",255
"29",255
"30",255
"31",50
"32",255
"33",255
"34",255
"35",255
"36",255
"37",255
"38",255
"39",255
"40",255
"41",255
"42",255
"43",50
"44",26
"45",255
"46",255
"47",255
"48",255
"49",255
"50",255
"51",255
"52",1
"53",255
"54",1
"55",1
"56",255
"57",2
"58",255
"59",255
"60",255
"61",255
"62",255
"63",255
"64",1
"65",255
"66",1
"67",255
"68",50
"69",255
"70",255
"71",255
"72",1
"73",50
"74",1
"75",1
"76",1
"77",255
"78",255
"79",255
"80",255
"81",50
"82",50
"83",255
"84",255
"85",255
"86",255
"87",255
"88",255
"89",1
"90",255
"91",1
"92",255
"93",255
"94",255
"95",255
"96",1
"97",255
"98",255
"99",24
"100",255
"101",255
"102",14
"103",12
"104",255
"105",1
"106",255
"107",255
"108",1
"109",24
"110",255
"111",255
"112",50
"113",255
"114",255
"115",255
"116",29
"117",50
"118",255
"119",255
"120",255
"121",255
"122",1
"123",42
"124",255
"125",255
"126",255
"127",255
"128",255
"129",255
"130",255
"131",50
"132",48
"133",255
"134",255
"135",1
"136",255
"137",50
"138",255
"139",255
"140",255
"141",255
"142",1
"143",255
"144",255
"145",40
"146",255
"147",255
"148",255
"149",255
"150",255
"151",255
"152",1
"153",1
"154",255
"155",255
"156",255
"157",255
"158",255
"159",255
"160",255
"161",255
"162",255
"163",1
"164",255
"165",255
"166",255
"167",255
"168",255
"169",50
"170",255
"171",255
"172",255
"173",255
"174",1
"175",255
"176",255
"177",255
"178",255
"179",255
"180",255
"181",255
"182",255
"183",255
"184",1
"185",255
"186",255
"187",255
"188",50
"189",255
"190",255
"191",1
"192",18
"193",1
"194",1
"195",255
"196",255
"197",1
"198",1
"199",50
"200",255
"201",255
"202",255
"203",255
"204",1
"205",255
"206",255
"207",255
"208",255
"209",255
"210",255
"211",1
"212",255
"213",255
"214",31
"215",255
"216",1
"217",255
"218",255
"219",255
"220",1
"221",255
"222",255
"223",255
"224",255
"225",255
"226",50
"227",255
"228",255
"229",255
"230",255
"231",255
"232",8
"233",50
"234",0
"235",50
"236",50
"237",255
"238",255
"239",2
"240",255
"241",255
"242",255
"243",255
"244",255
"245",255
"246",1
"247",255
"248",1
"249",1
"250",1
"251",1
"252",255
"253",255
"254",0
"255",255
"256",255
"257",1
"258",255
"259",255
"260",255
"261",255
"262",8
"263",255
"264",255
"265",3
"266",255
"267",255
"268",255
"269",255
"270",255
"271",255
"272",255
"273",255
"274",255
"275",255
"276",255
"277",255
"278",255
"279",3
"280",255
"281",255
"282",255
"283",255
"284",255
"285",255
"286",255
"287",255
"288",255
"289",255
"290",255
"291",255
"292",50
"293",255
"294",255
"295",255
"296",255
"297",255
"298",255
"299",255
"300",1
"301",1
"302",255
"303",255
"304",255
"305",255
"306",255
"307",255
"308",255
"309",3
"310",255
"311",13
"312",255
"313",1
"314",48
"315",255
"316",255
"317",255
"318",255
"319",1
"320",1
"321",255
"322",255
"323",14
"324",255
"325",255
"326",255
"327",255
"328",1
"329",255
"330",255
"331",50
"332",1
"333",255
"334",255
"335",17
"336",1
"337",50
"338",255
"339",255
"340",255
"341",255
"342",255
"343",0
"344",255
"345",2
"346",255
"347",1
"348",255
"349",1
"350",255
"351",255
"352",255
"353",255
"354",1
"355",255
"356",255
"357",255
"358",1
"359",0
"360",255
"361",255
"362",255
"363",255
"364",255
"365",14
"366",255
"367",255
"368",255
"369",255
"370",255
"371",255
"372",255
"373",255
"374",255
"375",50
"376",255
"377",7
"378",255
"379",255
"380",1
"381",255
"382",255
"383",255
"384",255
"385",25
"386",255
"387",255
"388",255
"389",255
"390",255
"391",255
"392",255
"393",255
"394",255
"395",255
"396",255
"397",255
"398",50
"399",255
"400",255
"401",255
"402",255
"403",255
"404",1
"405",255
"406",13
"407",255
"408",255
"409",50
"410",255
"411",1
"412",255
"413",255
"414",255
"415",255
"416",255
"417",255
"418",255
"419",255
"420",27
"421",255
"422",30
"423",255
"424",255
"425",255
"426",50
"427",255
"428",255
"429",1
"430",255
"431",14
"432",255
"433",255
"434",255
"435",255
"436",255
"437",255
"438",255
"439",255
"440",255
"441",255
"442",255
"443",255
"444",255
"445",1
"446",255
"447",5
"448",255
"449",25
"450",255
"451",1
"452",1
"453",255
"454",255
"455",255
"456",22
"457",255
"458",255
"459",255
"460",1
"461",255
"462",50
"463",1
"464",50
"465",1
"466",255
"467",1
"468",255
"469",255
"470",255
