Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
AE-ADb,24.450883,54.428792,NA,1,WET,NA,BWh,27.7,27.53,75,62,256593,NA,NA,NA,NA,NA,NA,NA,NA
AQ-Kse,-62.232115,-58.804321,0,-426,SNO,EF,EF,-1.6,NA,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-CCa,-35.621,-61.3181,83,81,CRO,Cfa,Cfa,16.1,15.91,1060,1018,198468,16.6,27.8,55.6,0.014,21.3,0.0244,6.9,2.81
AR-CCg,-35.9244,-61.1855,84,85,GRA,Cfa,Cfa,16.1,15.8,1060,1004,197010,17.6,27.3,55,0.0135,23.2,0.0248,7.2,3.34
AR-TF1,-54.9733,-66.7335,40,35,WET,NA,ET,NA,5.32,NA,658,104439,20.9,31.1,48,0.0081,39.6,0.102,5.6,23.38
AR-TF2,-54.8269,-68.4549,60,234,WET,NA,ET,5.5,3.17,530,596,106312,21.7,28.2,50,0.0086,35.1,0.1131,6.6,18.36
AT-Fue,47.367374,11.854709,NA,675,GRA,NA,Dfb,NA,8.66,NA,1123,139271,19.1,47.7,33.2,0.0118,35.2,0.081,6.5,5.83
AT-Hnb,47.803333,13.591389,NA,1205,BSV,NA,Cfb,NA,4.91,NA,1573,128808,29.9,41.1,29,0.0091,33,0.1161,5.3,13.46
AT-Inn,47.264096,11.385816,NA,621,URB,NA,Dfc,9.3,9.16,882,979,139834,NA,NA,NA,NA,NA,NA,NA,NA
AT-Lan,47.061221,10.963454,NA,1468,GRA,NA,ET,NA,4.09,NA,897,145023,19.8,37.7,42.5,0.0104,31.9,0.083,6.3,9.65
AT-Leu,47.378036,11.16278,NA,1294,GRA,NA,Dfc,NA,3,NA,1307,140165,29.1,39,31.9,0.0104,31.2,0.0966,5.9,8.82
AT-Mmg,47.316564,10.970089,NA,1033,ENF,NA,ET,8,7.37,753,1150,142793,20,43.1,36.8,0.0096,35.3,0.0954,5.7,10.08
AT-Neu,47.1166687,11.3175001,NA,1255,GRA,NA,Dfc,6.5,5.02,852,997,142169,15.9,43.1,41.1,0.0104,26.9,0.0853,6.2,8.62
AT-Rtz,47.3947222,11.8047222,NA,699,GRA,NA,Dfb,8.2,8.55,1151,1141,138666,17.6,44.2,38.2,0.0116,31.7,0.0733,6.4,7.36
AT-Sch,47.387291,11.247935,NA,1203,GRA,NA,Dfc,NA,5.42,NA,1264,140525,30.4,38.6,31,0.0102,36.4,0.0976,5.9,9.7
AT-StA,47.12528,11.28944,NA,1560,GRA,NA,Dfc,3,0.62,1097,1169,147645,21,39.7,39.3,0.0092,36.1,0.0915,5.3,10.48
AT-StM,47.12889,11.30583,NA,1560,GRA,NA,Dfc,3,3.97,1097,1052,145404,19.1,41.3,39.6,0.0095,30.7,0.0969,5.6,10.41
AT-StP,47.13694,11.30361,NA,1948,GRA,NA,Dfc,3,3.97,1097,1052,146221,18.2,42.9,38.9,0.0086,31.5,0.0871,5.2,9.77
AT-VnA,48.1818377,16.3908509,NA,186,URB,NA,Cfb,NA,10.4,NA,585,135056,NA,NA,NA,NA,NA,NA,NA,NA
AU-Ade,-13.0769,131.1178,90,76,SAV,NA,Aw,NA,27.23,1730,1409,252081,14.4,13.5,72.1,0.014,10.8,0.009,6,1.04
AU-Arc,-23.85872,148.4746,170,177,EBF,NA,BSh,NA,22.72,572,628,241831,40.4,17.2,42.3,0.0139,38,0.0128,7.7,1.54
AU-ASM,-22.2828,133.2493,606,606,SAV,NA,BSh,NA,22.62,305.9,366,268346,17.6,5.6,76.8,0.0139,36.1,0.0038,6.9,1.03
AU-Boy,-32.477093,116.938559,484,360,EBF,NA,Csa,16.9,16.42,445,469,234614,11.4,8.6,80.1,0.012,17.7,0.0138,6.4,3.21
AU-Cow,-16.238189,145.42715,90,108,WET,NA,Am,NA,24.19,3935,3105,232348,32.5,28.8,38.7,0.0108,18.1,0.0297,5,6.73
AU-Cpr,-34.0027,140.5877,53,55,SAV,NA,BSk,17,17.39,265,268,221668,16.1,7.8,76,0.0118,18,0.0115,8.1,1.72
AU-Ctr,-16.103219,145.447,65,282,EBF,NA,Am,24.4,22.73,5143,3102,233404,36.9,28.1,35,0.0105,17.1,0.0307,5,6.04
AU-Cum,-33.6152,150.7236,20,24,EBF,NA,Cfa,NA,17.34,800,843,203360,14.4,12.7,72.9,0.0116,25.6,0.0245,5.1,3.72
AU-DaP,-14.1331,131.3856,67,80,GRA,NA,Aw,NA,27.13,1250,1140,255563,9.5,5.4,85.1,0.0145,11.8,0.0055,6.5,0.77
AU-DaS,-14.1592,131.3881,53,71,SAV,NA,Aw,NA,27.13,1250,1140,256455,7.8,3.3,88.9,0.0146,10.6,0.0058,6.5,0.75
AU-Drg,-37.1334,147.1709,1648,1501,GRA,NA,Cfb,NA,7.56,NA,1370,187673,20,25.3,54.7,0.0094,23.3,0.0576,5.5,13.11
AU-Dry,-15.2588,132.3706,175,174,SAV,NA,Aw,NA,26.81,895.3,854,259745,25.2,9.3,65.5,0.0148,17.9,0.0051,6.7,0.89
AU-Fle,-19.887285,146.189762,268,258,NA,NA,BSh,NA,23.48,642,664,247692,31.7,16.4,52,0.0143,16.9,0.0067,7,1.15
AU-Fog,-12.5452,131.3072,15,8,WET,NA,Aw,NA,27.04,1411,1466,249735,46,31.9,22.1,0.0131,15.1,0.0164,6.3,2.24
AU-Gin,-31.376351,115.71377,51,51,MF,NA,Csa,18.4,18.44,681,699,242129,10.3,8.3,81.4,0.0119,22.9,0.0221,6.2,4.92
AU-GWW,-30.1913,120.6541,450,447,EBF,NA,BSh,18.8,18.81,265,264,242302,17.2,10.7,72.1,0.0125,20.5,0.0064,7.7,1.28
AU-How,-12.943,131.1523,64,78,WSA,NA,Aw,NA,27.2,1750,1424,251644,17.2,16.8,66,0.0134,11.9,0.0121,5.9,1.55
AU-Lit,-13.179,130.7945,40,228,SAV,NA,Aw,NA,26.3,NA,1585,251461,15.8,15.8,68.5,0.0133,12.8,0.0164,6.2,2.44
AU-Lon,-23.5233,144.3104,191,203,GRA,NA,BSh,23.4,23.6,444,419,260122,44.3,13.2,42.5,0.014,36.6,0.0051,8.5,0.67
AU-Lox,-34.47035,140.65512,53,44,DBF,NA,BSk,16.6,16.9,262.8,277,216522,16.1,11,72.9,0.012,20.4,0.0206,7.9,2.24
AU-Nim,-36.2159,148.5528,1337,1363,GRA,NA,Cfb,NA,8.23,NA,1185,196441,20.1,25,54.8,0.0109,23.2,0.048,6,9.18
AU-Otw,-38.5323,142.8168,54,36,GRA,NA,Cfb,NA,13.79,800,876,183328,14.2,13.9,71.8,0.0097,26.3,0.0354,6.5,10.78
AU-RDF,-14.563639,132.477567,NA,174,CRO,NA,Aw,NA,27,NA,955,256150,9.8,2.1,88.1,0.0146,16.4,0.0088,6,1.06
AU-Rgf,-32.5061,116.9668,330,339,GRA,NA,Csa,NA,16.65,445,456,233900,8.6,9.2,82.2,0.0116,15.1,0.0175,6.2,2.98
AU-Rig,-36.6499,145.576,152,151,GRA,NA,Cfb,NA,15.11,650,618,196602,15.4,22.6,62.1,0.0119,17.5,0.022,6.1,3.98
